	GC-pop-S1_0	GC-pop-S2_0	GC-pop-S3_0	invitro-pop-S1_0	invitro-pop-S2_0	invitro-pop-S3_0	invivo-pop-S1_0	invivo-pop-S2_0	invivo-pop-S3_0	NAIVE-pop-S1_0	NAIVE-pop-S2_0	NAIVE-pop-S3_0
CXorf40A	1.65831974556078	3.54293875607366	1.24603739843614	2.13860365812969	1.91201534883867	1.26851705604071	3.20965001532237	1.63777263072262	1.63777263072262	2.30295402866753	2.81270449176716	2.17374472129307
KIAA0317	5.16185621609184	4.67189649942479	5.41386025907638	4.70521225441586	4.10274259159467	4.50830761708455	4.31545689652382	3.569662681857	3.94907140726129	5.32859017339673	5.41386025907638	5.14045307911431
C11orf1	2.92116513511901	1.65831974556078	2.13860365812969	2.13860365812969	1.91201534883867	1.26851705604071	2.1970718423639	1.63777263072262	1.24603739843614	1.30831046809148	2.02594977329521	1.73705713687184
LOC401097	1.2539361300827	1.24603739843614	1.24603739843614	2.92116513511901	1.26851705604071	3.48759949433808	1.30831046809148	1.63777263072262	1.24603739843614	1.24603739843614	1.24603739843614	1.26851705604071
C20orf196	2.92116513511901	2.66209841614383	2.71278319460055	1.24603739843614	1.26851705604071	1.26851705604071	1.30831046809148	2.92116513511901	2.87732634409022	2.30295402866753	2.02594977329521	3.48759949433808
KIAA1429	4.54782784313843	4.78916636036092	5.19713457959613	3.71350172066785	4.68533133630358	4.40956084732059	4.55881705765469	4.71706564544672	4.1355317093577	4.85823059325894	5.69361964699918	5.14045307911431
C6orf48	2.92116513511901	4.27373971060784	3.1907847800843	5.45633343252006	5.45868739131777	4.75522144745961	4.18311603037474	4.71706564544672	4.1355317093577	2.30295402866753	1.58928020130354	2.50937811950592
C8orf33	3.96444687691946	4.05848791108005	2.87732634409022	2.92116513511901	3.18118094493278	3.02431903998484	3.569662681857	4.2953883596332	3.42524560316009	3.48759949433808	3.57396168543846	3.48759949433808
C11orf49	2.17374472129307	1.65831974556078	1.91201534883867	3.23066372635374	1.26851705604071	2.1970718423639	2.1970718423639	3.99440750800946	1.63777263072262	1.91201534883867	1.24603739843614	2.17374472129307
LOC339929	1.2539361300827	1.65831974556078	1.24603739843614	1.24603739843614	1.26851705604071	1.77426711732946	1.30831046809148	1.63777263072262	1.63777263072262	2.13860365812969	2.02594977329521	1.26851705604071
C2orf43	4.88967571482122	5.43980412564389	4.68533133630358	4.31786018273816	4.68533133630358	4.40956084732059	4.76307243570507	5.34778871608722	4.1355317093577	4.91026946892384	5.5722170078666	4.75927238784046
C6orf57	2.17374472129307	3.84089170845666	2.93408650389528	3.12048798855515	3.42524560316009	3.02431903998484	3.77478526812145	3.99440750800946	4.1355317093577	3.69154798370386	3.18118094493278	4.1724618042575
C9orf85	6.09505138642599	6.4016898943591	6.34099642329209	6.50141544583205	6.17260140069312	5.97871988684277	6.1575112085747	6.43228584770172	6.26646570151121	6.35372071738881	6.76269688882994	5.55087200899802
KIAA1143	4.06368001260598	3.34927846106101	3.36572086025867	3.43277424255358	2.78715030080066	3.02431903998484	3.20965001532237	2.92116513511901	3.569662681857	3.20965001532237	3.57396168543846	4.03004519446675
C1orf122	1.65831974556078	1.24603739843614	1.63777263072262	2.71278319460055	1.26851705604071	2.62563333242514	2.1970718423639	1.63777263072262	1.63777263072262	1.24603739843614	1.24603739843614	1.73705713687184
C3orf58	3.11152031972586	3.11152031972586	2.93408650389528	2.13860365812969	2.30295402866753	3.02431903998484	1.30831046809148	1.63777263072262	1.24603739843614	1.30831046809148	2.02594977329521	2.17374472129307
C12orf73	1.65831974556078	2.17374472129307	1.63777263072262	2.30295402866753	1.26851705604071	1.26851705604071	3.77478526812145	1.63777263072262	3.42524560316009	1.65831974556078	2.81270449176716	1.26851705604071
KIAA1704	3.36572086025867	4.67189649942479	3.48759949433808	4.07910366352117	4.85419468680399	4.40956084732059	5.21540427516798	4.87605947142336	4.3991721489758	4.09366416200493	3.72869711091662	4.58481746383144
C17orf85	4.88967571482122	4.98903809670602	4.76307243570507	5.19713457959613	5.92043586727927	5.64557489646619	6.0860427685311	5.88256906878367	5.41691593034868	4.4975434145389	3.91204480073569	4.58481746383144
SELO	2.17374472129307	1.65831974556078	1.63777263072262	1.24603739843614	2.30295402866753	1.26851705604071	1.30831046809148	1.63777263072262	1.63777263072262	1.91201534883867	2.30295402866753	1.73705713687184
NCRNA00116	1.2539361300827	1.65831974556078	2.37457388479925	2.92116513511901	2.78715030080066	2.1970718423639	3.20965001532237	3.569662681857	2.50937811950592	2.30295402866753	1.58928020130354	2.90037817646403
C22orf32	6.49373998917477	6.85565094687141	6.39145079532853	6.37485728020667	6.43669203133978	6.49373998917477	6.67017292414488	6.60434675929491	6.4016898943591	5.05310998803597	4.74748559306413	5.70331419948468
C16orf59	2.66209841614383	2.92116513511901	2.13860365812969	1.54463786572586	1.26851705604071	2.1970718423639	2.1970718423639	1.63777263072262	2.13860365812969	1.91201534883867	1.58928020130354	1.26851705604071
C19orf24	3.11152031972586	3.54293875607366	2.93408650389528	3.60299213262624	2.78715030080066	4.50830761708455	3.99440750800946	1.63777263072262	3.00747200955627	2.71278319460055	2.81270449176716	3.07266254103253
C6orf120	2.66209841614383	2.17374472129307	3.07266254103253	3.43277424255358	2.30295402866753	2.1970718423639	2.1970718423639	1.63777263072262	2.87732634409022	2.71278319460055	2.30295402866753	2.90037817646403
C19orf12	2.17374472129307	2.17374472129307	2.71278319460055	3.12048798855515	2.94915634846485	3.48759949433808	2.87732634409022	1.63777263072262	3.20965001532237	3.86661459989005	3.57396168543846	3.59620392835603
C6orf118	1.2539361300827	1.65831974556078	1.63777263072262	1.54463786572586	1.26851705604071	1.77426711732946	1.30831046809148	1.63777263072262	2.13860365812969	1.24603739843614	1.24603739843614	1.26851705604071
C15orf39	4.48865996922728	3.84089170845666	3.733475675834	5.57561933986505	4.91026946892384	5.09299132341654	3.77478526812145	4.2953883596332	4.67189649942479	4.6609218415034	3.42524560316009	4.50830761708455
C6orf203	1.65831974556078	2.92116513511901	2.37457388479925	2.30295402866753	1.26851705604071	2.62563333242514	2.1970718423639	4.2953883596332	3.00747200955627	1.30831046809148	2.02594977329521	1.73705713687184
KIAA0226	6.03247360093589	6.13004961807686	6.51375051625142	4.58762304174593	4.43381406533268	2.87732634409022	3.99440750800946	3.99440750800946	4.85419468680399	6.60820891332026	6.25891440993213	6.46836554813625
C19orf44	2.66209841614383	2.66209841614383	1.91201534883867	1.24603739843614	1.26851705604071	1.26851705604071	1.30831046809148	1.63777263072262	1.63777263072262	2.13860365812969	2.30295402866753	1.73705713687184
C16orf90	1.2539361300827	1.24603739843614	1.26851705604071	1.77426711732946	2.30295402866753	2.62563333242514	1.30831046809148	1.63777263072262	1.24603739843614	1.30831046809148	1.58928020130354	1.73705713687184
C20orf27	2.92116513511901	2.17374472129307	1.91201534883867	2.92116513511901	1.91201534883867	3.02431903998484	1.30831046809148	2.92116513511901	3.42524560316009	2.71278319460055	2.02594977329521	3.59620392835603
C6orf211	4.54782784313843	3.96200643454741	4.3991721489758	2.92116513511901	3.18118094493278	3.48759949433808	3.569662681857	2.92116513511901	3.69154798370386	3.07266254103253	3.42524560316009	3.77478526812145
